trial,order_position,pipeline,wall_time_ms,events,microseconds_per_event,amortized_completion_rate_events_per_second,output_bytes,bytes_per_event,projection_sha256,projection_matches_expected
1,1,eacp,68.747792,374,183.8176256684492,5440.174718629509,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
1,2,opentelemetry,847.861916,374,2267.0104705882354,441.1095638832775,3338511,8926.5,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
2,1,opentelemetry,778.922959,374,2082.6817085561497,480.15018132236105,3338492,8926.449197860962,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
2,2,eacp,60.458167,374,161.65285294117646,6186.095585729551,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
3,1,eacp,59.598375,374,159.35394385026737,6275.33888298129,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
3,2,opentelemetry,703.266959,374,1880.3929385026738,531.8037414011369,3338511,8926.5,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
4,1,opentelemetry,612.622417,374,1638.0278529411764,610.4902295796987,3338511,8926.5,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
4,2,eacp,64.230791,374,171.74008288770054,5822.7525175581295,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
5,1,eacp,60.859041,374,162.72470855614972,6145.348231826394,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
5,2,opentelemetry,495.066708,374,1323.7077754010695,755.4537478613892,3338492,8926.449197860962,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
6,1,opentelemetry,660.117666,374,1765.0204973262032,566.5656583109836,3338511,8926.5,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
6,2,eacp,60.333791,374,161.32029679144384,6198.848005423694,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
7,1,eacp,59.808417,374,159.91555347593584,6253.300434285027,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
7,2,opentelemetry,512.870167,374,1371.3106069518717,729.2293918901312,3338492,8926.449197860962,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
8,1,opentelemetry,532.108666,374,1422.7504438502674,702.8639522288856,3338492,8926.449197860962,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
8,2,eacp,62.77625,374,167.850935828877,5957.667111367756,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
9,1,eacp,59.653958,374,159.5025614973262,6269.4917913074605,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
9,2,opentelemetry,632.330875,374,1690.7242647058824,591.4624997553694,3338511,8926.5,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
10,1,opentelemetry,534.089791,374,1428.0475695187165,700.2567850992681,3338492,8926.449197860962,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
10,2,eacp,63.877333,374,170.79500802139037,5854.972060276844,290816,777.5828877005348,196d4a1bf8d057d9fe9e6f18062b7c5ac5228642df3098b28c84fb48d7a67da6,True
