scenario,algorithm,trials,complete_chain_coverage_median,complete_chain_coverage_q1,complete_chain_coverage_q3,complete_chain_coverage_min,complete_chain_coverage_max,exact_chain_accuracy_median,exact_chain_accuracy_q1,exact_chain_accuracy_q3,exact_chain_accuracy_min,exact_chain_accuracy_max,exact_chain_precision_median,exact_chain_precision_q1,exact_chain_precision_q3,exact_chain_precision_min,exact_chain_precision_max,exact_chain_recall_median,exact_chain_recall_q1,exact_chain_recall_q3,exact_chain_recall_min,exact_chain_recall_max,exact_chain_f1_median,exact_chain_f1_q1,exact_chain_f1_q3,exact_chain_f1_min,exact_chain_f1_max,mean_chain_member_coverage_median,mean_chain_member_coverage_q1,mean_chain_member_coverage_q3,mean_chain_member_coverage_min,mean_chain_member_coverage_max,missed_join_rate_median,missed_join_rate_q1,missed_join_rate_q3,missed_join_rate_min,missed_join_rate_max,false_join_rate_median,false_join_rate_q1,false_join_rate_q3,false_join_rate_min,false_join_rate_max,join_precision_median,join_precision_q1,join_precision_q3,join_precision_min,join_precision_max,join_recall_median,join_recall_q1,join_recall_q3,join_recall_min,join_recall_max,ambiguous_group_count_median,ambiguous_group_count_q1,ambiguous_group_count_q3,ambiguous_group_count_min,ambiguous_group_count_max,ambiguous_event_rate_median,ambiguous_event_rate_q1,ambiguous_event_rate_q3,ambiguous_event_rate_min,ambiguous_event_rate_max,accepted_ambiguous_group_count_median,accepted_ambiguous_group_count_q1,accepted_ambiguous_group_count_q3,accepted_ambiguous_group_count_min,accepted_ambiguous_group_count_max,detected_ambiguous_group_count_median,detected_ambiguous_group_count_q1,detected_ambiguous_group_count_q3,detected_ambiguous_group_count_min,detected_ambiguous_group_count_max,ambiguity_detection_precision_median,ambiguity_detection_precision_q1,ambiguity_detection_precision_q3,ambiguity_detection_precision_min,ambiguity_detection_precision_max,ambiguity_detection_recall_median,ambiguity_detection_recall_q1,ambiguity_detection_recall_q3,ambiguity_detection_recall_min,ambiguity_detection_recall_max,source_conflict_group_count_median,source_conflict_group_count_q1,source_conflict_group_count_q3,source_conflict_group_count_min,source_conflict_group_count_max,detected_source_conflict_group_count_median,detected_source_conflict_group_count_q1,detected_source_conflict_group_count_q3,detected_source_conflict_group_count_min,detected_source_conflict_group_count_max,source_conflict_detection_precision_median,source_conflict_detection_precision_q1,source_conflict_detection_precision_q3,source_conflict_detection_precision_min,source_conflict_detection_precision_max,source_conflict_detection_recall_median,source_conflict_detection_recall_q1,source_conflict_detection_recall_q3,source_conflict_detection_recall_min,source_conflict_detection_recall_max,abstained_observation_count_median,abstained_observation_count_q1,abstained_observation_count_q3,abstained_observation_count_min,abstained_observation_count_max,abstention_rate_median,abstention_rate_q1,abstention_rate_q3,abstention_rate_min,abstention_rate_max,deduplicated_observation_count_median,deduplicated_observation_count_q1,deduplicated_observation_count_q3,deduplicated_observation_count_min,deduplicated_observation_count_max,deduplication_rate_median,deduplication_rate_q1,deduplication_rate_q3,deduplication_rate_min,deduplication_rate_max,time_to_completeness_observations_median,time_to_completeness_observations_q1,time_to_completeness_observations_q3,time_to_completeness_observations_min,time_to_completeness_observations_max,time_to_completeness_p50_ms_median,time_to_completeness_p50_ms_q1,time_to_completeness_p50_ms_q3,time_to_completeness_p50_ms_min,time_to_completeness_p50_ms_max,time_to_completeness_p95_ms_median,time_to_completeness_p95_ms_q1,time_to_completeness_p95_ms_q3,time_to_completeness_p95_ms_min,time_to_completeness_p95_ms_max,time_to_completeness_max_ms_median,time_to_completeness_max_ms_q1,time_to_completeness_max_ms_q3,time_to_completeness_max_ms_min,time_to_completeness_max_ms_max,arrival_inversion_count_median,arrival_inversion_count_q1,arrival_inversion_count_q3,arrival_inversion_count_min,arrival_inversion_count_max,arrival_inversion_rate_median,arrival_inversion_rate_q1,arrival_inversion_rate_q3,arrival_inversion_rate_min,arrival_inversion_rate_max
clock_skew_random_10pct_5s,correlation_id_only_ablation,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,276.25,284.75,265.0,293.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clock_skew_random_10pct_5s,naive_temporal_window,30,0.4033333333333333,0.39,0.41625,0.3616666666666667,0.4483333333333333,0.4033333333333333,0.39,0.41625,0.3616666666666667,0.4483333333333333,0.365489630420462,0.3494785248071569,0.37383499788686964,0.3243647234678625,0.4026946107784431,0.4033333333333333,0.39,0.41625,0.3616666666666667,0.4483333333333333,0.3838558533728382,0.36785261425982396,0.39438399241299277,0.34200157604412923,0.4242902208201893,0.8505555555555555,0.8475694444444444,0.8545833333333334,0.8380555555555556,0.8608333333333333,0.2445,0.23916666666666667,0.24911111111111112,0.232,0.25966666666666666,0.1462601220971583,0.13497395015377603,0.15684680819329944,0.12038686688724866,0.17821904292057228,0.8537398779028418,0.8431531918067006,0.8650260498462239,0.8217809570794278,0.8796131331127514,0.7555000000000001,0.7508888888888889,0.7608333333333333,0.7403333333333333,0.768,111.0,105.25,121.0,97.0,140.0,0.19166666666666665,0.17902777777777779,0.20472222222222222,0.16027777777777777,0.24166666666666667,111.0,105.25,121.0,97.0,140.0,90.5,86.25,98.0,75.0,115.0,1.0,1.0,1.0,1.0,1.0,0.8077101288110462,0.7773758988131335,0.8230042016806722,0.7352941176470589,0.8446601941747572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,234.0,249.75,217.0,269.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clock_skew_random_10pct_5s,strict_service_plus_correlation,30,0.53,0.5254166666666666,0.5395833333333333,0.5116666666666667,0.5583333333333333,0.53,0.5254166666666666,0.5395833333333333,0.5116666666666667,0.5583333333333333,1.0,1.0,1.0,1.0,1.0,0.53,0.5254166666666666,0.5395833333333333,0.5116666666666667,0.5583333333333333,0.6928104575163399,0.6888825255923832,0.7009469403835601,0.6769570011025359,0.7165775401069518,0.6083333333333333,0.6045138888888889,0.6163194444444444,0.5930555555555556,0.6319444444444444,0.47,0.4604166666666667,0.4745833333333333,0.44166666666666665,0.48833333333333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.53,0.5254166666666666,0.5395833333333333,0.5116666666666667,0.5583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,276.25,284.75,265.0,293.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1692.0,1657.5,1708.5,1590.0,1758.0,0.47,0.4604166666666667,0.4745833333333333,0.44166666666666665,0.48833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,315.25,323.75,307.0,335.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_cross_service_5pct,correlation_id_only_ablation,30,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9,0.9,0.9,0.9,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0,0.1,0.1,0.1,0.1,0.1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,540.0,540.0,540.0,540.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_cross_service_5pct,naive_temporal_window,30,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.9383333333333334,0.9345833333333333,0.943125,0.9216666666666666,0.9508333333333333,0.074,0.06825,0.0785,0.059,0.094,0.1378026070763501,0.1277787704564804,0.14557135763968665,0.11142587346553352,0.17184643510054845,0.8621973929236499,0.8544286423603134,0.8722212295435197,0.8281535648994516,0.8885741265344664,0.926,0.9215,0.9317500000000001,0.906,0.941,74.0,68.25,78.5,59.0,94.0,0.185,0.170625,0.19625,0.1475,0.235,74.0,68.25,78.5,59.0,94.0,74.0,68.25,78.5,59.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,443.0,463.5,412.0,482.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_cross_service_5pct,strict_service_plus_correlation,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_same_service_10pct,correlation_id_only_ablation,30,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8,0.8,0.8,0.8,0.8,0.8421052631578948,0.8421052631578948,0.8421052631578948,0.8421052631578948,0.8421052631578948,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,60.0,60.0,0.2,0.2,0.2,0.2,0.2,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0,480.0,480.0,480.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_same_service_10pct,naive_temporal_window,30,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.7533333333333333,0.7383333333333333,0.7725,0.6866666666666666,0.8033333333333333,0.9383333333333334,0.9345833333333333,0.943125,0.9216666666666666,0.9508333333333333,0.074,0.06825,0.0785,0.059,0.094,0.1378026070763501,0.1277787704564804,0.14557135763968665,0.11142587346553352,0.17184643510054845,0.8621973929236499,0.8544286423603134,0.8722212295435197,0.8281535648994516,0.8885741265344664,0.926,0.9215,0.9317500000000001,0.906,0.941,74.0,68.25,78.5,59.0,94.0,0.185,0.170625,0.19625,0.1475,0.235,74.0,68.25,78.5,59.0,94.0,74.0,68.25,78.5,59.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,443.0,463.5,412.0,482.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_same_service_10pct,strict_service_plus_correlation,30,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,60.0,60.0,60.0,60.0,60.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,720.0,720.0,720.0,720.0,720.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0,480.0,480.0,480.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collision_same_service_1pct,correlation_id_only_ablation,30,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.98,0.98,0.98,0.98,0.98,0.9849246231155778,0.9849246231155778,0.9849246231155778,0.9849246231155778,0.9849246231155778,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.9765625,0.9765625,0.9765625,0.9765625,0.9765625,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.02,0.02,0.02,0.02,0.02,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
