scenario,algorithm,seed,configured_chain_count,configured_service_count,configured_overlap_fraction,temporal_window_ms,missing_id_events,wrong_id_events,collision_pairs,exact_duplicate_observations,conflicting_duplicate_observations,clock_skewed_events,late_events,jittered_events,truth_chain_count,event_count,canonical_event_count,observation_count,predicted_group_count,predicted_chain_group_count,complete_chain_count,complete_chain_coverage,exact_chain_accuracy,exact_chain_precision,exact_chain_recall,exact_chain_f1,mean_chain_member_coverage,true_join_pair_count,predicted_join_pair_count,correct_join_count,missed_join_count,missed_join_rate,false_join_count,false_join_rate,join_precision,join_recall,ambiguous_group_count,ambiguous_event_count,ambiguous_event_rate,accepted_ambiguous_group_count,detected_ambiguous_group_count,ambiguity_detection_true_positive,ambiguity_detection_false_positive,ambiguity_detection_false_negative,ambiguity_detection_precision,ambiguity_detection_recall,source_conflict_group_count,detected_source_conflict_group_count,source_conflict_detection_precision,source_conflict_detection_recall,abstained_observation_count,abstention_rate,deduplicated_observation_count,deduplication_rate,time_to_completeness_observations,time_to_completeness_p50_ms,time_to_completeness_p95_ms,time_to_completeness_max_ms,arrival_inversion_count,arrival_inversion_rate
control,strict_service_plus_correlation,9238,600,24,0.25,1500,0,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,600,1.0,1.0,1.0,1.0,1.0,1.0,9000,9000,9000,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,0,0.0,600,1275.0,1275.0,1275.0,0,0.0
control,correlation_id_only_ablation,9238,600,24,0.25,1500,0,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,600,1.0,1.0,1.0,1.0,1.0,1.0,9000,9000,9000,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,0,0.0,600,1275.0,1275.0,1275.0,0,0.0
control,naive_temporal_window,9238,600,24,0.25,1500,0,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,452,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.9383333333333334,9000,9666,8334,666,0.074,1332,0.1378026070763501,0.8621973929236499,0.926,74,666,0.185,74,74,74,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,452,1275.0,1275.0,1275.0,0,0.0
missing_random_1pct,strict_service_plus_correlation,9238,600,24,0.25,1500,36,0,0,0,0,0,0,0,600,3600,3600,3600,636,600,565,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.99,9000,8821,8821,179,0.01988888888888889,0,0.0,1.0,0.9801111111111112,0,0,0.0,0,0,0,0,0,,,0,0,,,36,0.01,0,0.0,565,1275.0,1275.0,1275.0,0,0.0
missing_random_1pct,correlation_id_only_ablation,9238,600,24,0.25,1500,36,0,0,0,0,0,0,0,600,3600,3600,3600,636,600,565,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.99,9000,8821,8821,179,0.01988888888888889,0,0.0,1.0,0.9801111111111112,0,0,0.0,0,0,0,0,0,,,0,0,,,36,0.01,0,0.0,565,1275.0,1275.0,1275.0,0,0.0
missing_random_1pct,naive_temporal_window,9238,600,24,0.25,1500,36,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,452,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.9383333333333334,9000,9666,8334,666,0.074,1332,0.1378026070763501,0.8621973929236499,0.926,74,666,0.185,74,74,74,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,452,1275.0,1275.0,1275.0,0,0.0
missing_random_5pct,strict_service_plus_correlation,9238,600,24,0.25,1500,180,0,0,0,0,0,0,0,600,3600,3600,3600,780,600,436,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666666,0.95,9000,8117,8117,883,0.09811111111111111,0,0.0,1.0,0.9018888888888889,0,0,0.0,0,0,0,0,0,,,0,0,,,180,0.05,0,0.0,436,1275.0,1275.0,1275.0,0,0.0
missing_random_5pct,correlation_id_only_ablation,9238,600,24,0.25,1500,180,0,0,0,0,0,0,0,600,3600,3600,3600,780,600,436,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666666,0.95,9000,8117,8117,883,0.09811111111111111,0,0.0,1.0,0.9018888888888889,0,0,0.0,0,0,0,0,0,,,0,0,,,180,0.05,0,0.0,436,1275.0,1275.0,1275.0,0,0.0
missing_random_5pct,naive_temporal_window,9238,600,24,0.25,1500,180,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,452,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.9383333333333334,9000,9666,8334,666,0.074,1332,0.1378026070763501,0.8621973929236499,0.926,74,666,0.185,74,74,74,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,452,1275.0,1275.0,1275.0,0,0.0
missing_random_10pct,strict_service_plus_correlation,9238,600,24,0.25,1500,360,0,0,0,0,0,0,0,600,3600,3600,3600,960,598,325,0.5416666666666666,0.5416666666666666,0.5434782608695652,0.5416666666666666,0.5425709515859766,0.9,9000,7312,7312,1688,0.18755555555555556,0,0.0,1.0,0.8124444444444444,0,0,0.0,0,0,0,0,0,,,0,0,,,360,0.1,0,0.0,325,1275.0,1275.0,1275.0,0,0.0
missing_random_10pct,correlation_id_only_ablation,9238,600,24,0.25,1500,360,0,0,0,0,0,0,0,600,3600,3600,3600,960,598,325,0.5416666666666666,0.5416666666666666,0.5434782608695652,0.5416666666666666,0.5425709515859766,0.9,9000,7312,7312,1688,0.18755555555555556,0,0.0,1.0,0.8124444444444444,0,0,0.0,0,0,0,0,0,,,0,0,,,360,0.1,0,0.0,325,1275.0,1275.0,1275.0,0,0.0
missing_random_10pct,naive_temporal_window,9238,600,24,0.25,1500,360,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,452,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.9383333333333334,9000,9666,8334,666,0.074,1332,0.1378026070763501,0.8621973929236499,0.926,74,666,0.185,74,74,74,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,452,1275.0,1275.0,1275.0,0,0.0
missing_random_20pct,strict_service_plus_correlation,9238,600,24,0.25,1500,720,0,0,0,0,0,0,0,600,3600,3600,3600,1320,600,156,0.26,0.26,0.26,0.26,0.26,0.8,9000,5750,5750,3250,0.3611111111111111,0,0.0,1.0,0.6388888888888888,0,0,0.0,0,0,0,0,0,,,0,0,,,720,0.2,0,0.0,156,1275.0,1275.0,1275.0,0,0.0
missing_random_20pct,correlation_id_only_ablation,9238,600,24,0.25,1500,720,0,0,0,0,0,0,0,600,3600,3600,3600,1320,600,156,0.26,0.26,0.26,0.26,0.26,0.8,9000,5750,5750,3250,0.3611111111111111,0,0.0,1.0,0.6388888888888888,0,0,0.0,0,0,0,0,0,,,0,0,,,720,0.2,0,0.0,156,1275.0,1275.0,1275.0,0,0.0
