source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
kubernetes.audit,7e23cca6-b98f-43c5-81db-833939fbc48e:ResponseComplete,2026-09-02T22:28:00.306762Z,2026-09-02T22:28:00.308098Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://7e23cca6-b98f-43c5-81db-833939fbc48e,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,aa5a496402c26827126cf680e4270d90a907d5c68e7b5c1349a98cb917fcbe88
kubernetes.audit,43265290-3dd2-4d89-a21d-b7dd31e5c0f2:ResponseComplete,2026-09-02T22:28:00.313787Z,2026-09-02T22:28:00.318271Z,system:serviceaccount:kube-system:service-account-controller,eacp-cross-plane-v13/default,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://43265290-3dd2-4d89-a21d-b7dd31e5c0f2,k8s://eacp-cross-plane-v13/serviceaccounts/default,e6a753400791928ec210cf785064ff3cfa807971cf724c38a87f4c044afb35ea
kubernetes.audit,f5d52c59-c9f8-4b7f-aa38-7b5ca6d3e148:ResponseComplete,2026-09-02T22:28:00.314730Z,2026-09-02T22:28:00.318531Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://f5d52c59-c9f8-4b7f-aa38-7b5ca6d3e148,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,16aaac11ffde1989d75fe36f4ef74c247a465e3e2072d16b0a4c1be41791c3d0
kubernetes.audit,66292c55-184d-4847-b0e1-ed0ac95ea488:ResponseComplete,2026-09-02T22:28:00.320084Z,2026-09-02T22:28:00.322007Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://66292c55-184d-4847-b0e1-ed0ac95ea488,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,d1ef8dbcfc4adbb811bab5af0f6501c118c96ea6c97ee1cfb978ae8af55a5454
kubernetes.audit,b1e28801-96e1-4526-a0f8-85eadad155d6:ResponseComplete,2026-09-02T22:28:00.317476Z,2026-09-02T22:28:00.322043Z,system:serviceaccount:kube-system:root-ca-cert-publisher,eacp-cross-plane-v13/kube-root-ca.crt,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://b1e28801-96e1-4526-a0f8-85eadad155d6,k8s://eacp-cross-plane-v13/configmaps/kube-root-ca.crt,134b66bb8ec907bb7169ed5cd6ab0696714ab14f0e5f04c1dcccea77397401ef
kubernetes.audit,faa6c415-b870-4daf-bf71-5425f112678e:ResponseComplete,2026-09-02T22:28:00.322625Z,2026-09-02T22:28:00.324878Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://faa6c415-b870-4daf-bf71-5425f112678e,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,93b0fd196405649d60928bce7ea542090b098eb1faaaa6cfd2c127e14dd11c81
kubernetes.audit,b72c279c-8f43-4bad-844b-a4de9e6cd92c:ResponseComplete,2026-09-02T22:28:00.325597Z,2026-09-02T22:28:00.326777Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://b72c279c-8f43-4bad-844b-a4de9e6cd92c,k8s://eacp-cross-plane-v13/roles/eacp-observer,d26a0f2ebe9f310338782091ae04cd8fc805ede8b590d9f1750acc4bac1d3319
kubernetes.audit,60e73aaf-8102-41c3-879c-a4f8c1bf4cd7:ResponseComplete,2026-09-02T22:28:00.327578Z,2026-09-02T22:28:00.328554Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://60e73aaf-8102-41c3-879c-a4f8c1bf4cd7,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,49ba97079970e5333a7451c4532ac6c77079ff1b5901a24a66cdfee387e95dff
kubernetes.audit,cab928c8-b984-4db9-9d7c-5aa101892bd6:ResponseComplete,2026-09-02T22:28:00.329402Z,2026-09-02T22:28:00.332091Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://cab928c8-b984-4db9-9d7c-5aa101892bd6,k8s://eacp-cross-plane-v13/roles/eacp-observer,be53f807f52f924a172169152337e81bda73df8b178bc7a7242115dd5c702018
kubernetes.audit,a0cec590-50bf-492d-bf26-b797b530b5b2:ResponseComplete,2026-09-02T22:28:00.333088Z,2026-09-02T22:28:00.334908Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://a0cec590-50bf-492d-bf26-b797b530b5b2,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,23b5a62f8393b88ea7955e3b87a6e919cd4f25f616d9371303200ecd0e67c4cc
kubernetes.audit,5f892334-1bfb-4679-8112-1d5397db3a29:ResponseComplete,2026-09-02T22:28:00.335590Z,2026-09-02T22:28:00.337029Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://5f892334-1bfb-4679-8112-1d5397db3a29,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,b62aaacc9dfe3880b215ef2488604547fce5a34ad067785e3512817e6074610a
kubernetes.audit,6deeed3a-020b-4c67-8ff3-1d2823b6a48c:ResponseComplete,2026-09-02T22:28:00.337907Z,2026-09-02T22:28:00.341784Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://6deeed3a-020b-4c67-8ff3-1d2823b6a48c,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,c9bb8b5ecdcec26650c6299eb524ddc8623fc8fdabc555db22be8baa34302288
kubernetes.audit,2274860c-97ee-4c0c-8e3a-c76ce246fdbc:ResponseComplete,2026-09-02T22:28:00.343222Z,2026-09-02T22:28:00.345489Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://2274860c-97ee-4c0c-8e3a-c76ce246fdbc,k8s://eacp-cross-plane-v13/deployments/eacp-cross-plane,89900d837b36e7aa849badc6ec7861927faa6ab130f80156d88558297efa812f
kubernetes.audit,ad8c1364-8e99-4fe3-9f11-7619962387a0:ResponseComplete,2026-09-02T22:28:00.346141Z,2026-09-02T22:28:00.347729Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://ad8c1364-8e99-4fe3-9f11-7619962387a0,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,545bbdbcffa8aa8ec45ab4403a34bc53ae4f308273fce854cc3633533432dcc0
kubernetes.audit,b817e9e9-9280-4dd0-8e5e-a413fafa7aed:ResponseComplete,2026-09-02T22:28:00.348806Z,2026-09-02T22:28:00.354100Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://b817e9e9-9280-4dd0-8e5e-a413fafa7aed,eacp-gha-1324720646-33690436849-1,d92f197458ae00a348e39298df8e56feb2d6740d5e184512611bdc866f47a14e
kubernetes.audit,bb1da261-441b-4b59-9ef7-af16a1c03c44:ResponseComplete,2026-09-02T22:28:00.358725Z,2026-09-02T22:28:00.361969Z,kubernetes-admin,eacp-cross-plane-v13/negative-control-no-correlation,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://bb1da261-441b-4b59-9ef7-af16a1c03c44,k8s://eacp-cross-plane-v13/configmaps/negative-control-no-correlation,fdbe6ccc49722d2f2a954452c59b077b7b685570c2c2af24e0cbd219abe73f65
kubernetes.audit,f97c9ae0-a5c3-40c4-80e6-0c7e81686794:ResponseComplete,2026-09-02T22:28:00.366687Z,2026-09-02T22:28:00.369009Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://f97c9ae0-a5c3-40c4-80e6-0c7e81686794,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,7a22484218b79f929229a1786e8140c9b9562d98ba7e7257f47b58db7b7f6db6
kubernetes.audit,dde6449e-0161-46ea-9877-06cf7c2bd9a8:ResponseComplete,2026-09-02T22:28:00.355175Z,2026-09-02T22:28:00.370054Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://dde6449e-0161-46ea-9877-06cf7c2bd9a8,eacp-gha-1324720646-33690436849-1,15bcfaec34006c2db29636ea3e74e6aff7e4fac79bc4e0a1badaabf80b20490e
kubernetes.audit,9397c4d1-3ee4-467f-b166-fd42c1976e10:ResponseComplete,2026-09-02T22:28:00.372957Z,2026-09-02T22:28:00.375106Z,kubernetes-admin,eacp-cross-plane-v13/eacp-negative-control,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://9397c4d1-3ee4-467f-b166-fd42c1976e10,k8s://eacp-cross-plane-v13/configmaps/negative-control-no-correlation,4c76c34c6aa27228a40360c97d29e3f06f62d02cd5fc8bc735395d214b8714d2
kubernetes.audit,92bd57fa-fe35-44f2-a940-993ca8ef066d:ResponseComplete,2026-09-02T22:28:00.372550Z,2026-09-02T22:28:00.376038Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane.18d1a17bdb0f08ad,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://92bd57fa-fe35-44f2-a940-993ca8ef066d,k8s://eacp-cross-plane-v13/events/eacp-cross-plane.18d1a17bdb0f08ad,04caeee8221eb3629ca774f85b7b7cf9884e3eb63a50ae34d8d9ea7aed5ef8b1
kubernetes.audit,c7a5731a-d297-483e-a483-8dda1c2261b6:ResponseComplete,2026-09-02T22:28:00.372023Z,2026-09-02T22:28:00.383237Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,update,200,kubernetes-audit://c7a5731a-d297-483e-a483-8dda1c2261b6,k8s://eacp-cross-plane-v13/deployments/eacp-cross-plane,32e7e14128304d3fe97cb0b33b975b9856b3c20842e1648dc3dc416940b3eff2
