source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
kubernetes.audit,a315b6b7-c80a-43c2-be68-f022e8d3ce37:ResponseComplete,2026-09-02T21:00:03.269887Z,2026-09-02T21:00:03.271304Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://a315b6b7-c80a-43c2-be68-f022e8d3ce37,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,2af76e451ad3a3ca31635613d3ab8a3e1349231a6946d690f5963ddcb8f4ba92
kubernetes.audit,92d9fc78-35bf-4212-9423-1da1d3145d5b:ResponseComplete,2026-09-02T21:00:03.276500Z,2026-09-02T21:00:03.277599Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://92d9fc78-35bf-4212-9423-1da1d3145d5b,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,ffd238c331c87218a5d68bdd081de972b154d7902470aae99c268cfe47e29488
kubernetes.audit,67b57ed1-fe4b-41dd-b4e4-937590716959:ResponseComplete,2026-09-02T21:00:03.277051Z,2026-09-02T21:00:03.278720Z,system:serviceaccount:kube-system:service-account-controller,eacp-cross-plane-v13/default,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://67b57ed1-fe4b-41dd-b4e4-937590716959,k8s://eacp-cross-plane-v13/serviceaccounts/default,b0f9ec8fc578b1e1153fe31083dc9fd6246993b03fc19243d096ed9e5e8d9874
kubernetes.audit,c30e728e-237d-4025-b05b-97e7abf91a82:ResponseComplete,2026-09-02T21:00:03.278458Z,2026-09-02T21:00:03.279413Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://c30e728e-237d-4025-b05b-97e7abf91a82,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,8f384028c71f8bfc597c707fb18dbd69f5dea8425ac2f1e7d00d26eddd2d10a6
kubernetes.audit,45a029de-15f1-4f54-8532-0e85c57cadda:ResponseComplete,2026-09-02T21:00:03.277494Z,2026-09-02T21:00:03.279756Z,system:serviceaccount:kube-system:root-ca-cert-publisher,eacp-cross-plane-v13/kube-root-ca.crt,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://45a029de-15f1-4f54-8532-0e85c57cadda,k8s://eacp-cross-plane-v13/configmaps/kube-root-ca.crt,e671b523f6ef86b2424d4add2cc485a6f1d95891757958a1e6f4fcb1b004d2bf
kubernetes.audit,c353dca7-5033-436c-adcc-fb990611543b:ResponseComplete,2026-09-02T21:00:03.280124Z,2026-09-02T21:00:03.281567Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://c353dca7-5033-436c-adcc-fb990611543b,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,9f3884a5b3efb0ca52b4ce53569f7e75e20a32483f8a1f5c22f99b0d9a39dc06
kubernetes.audit,73985605-7844-4f1e-b9de-c7cbf915458f:ResponseComplete,2026-09-02T21:00:03.282314Z,2026-09-02T21:00:03.283186Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://73985605-7844-4f1e-b9de-c7cbf915458f,k8s://eacp-cross-plane-v13/roles/eacp-observer,567ee2ccb7e780f5a4de199ec9bc6d40533fd2600e0dbafff1fc3e47e901aad0
kubernetes.audit,e36cfe5e-21ea-400f-be00-444610f4df9c:ResponseComplete,2026-09-02T21:00:03.283846Z,2026-09-02T21:00:03.284686Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://e36cfe5e-21ea-400f-be00-444610f4df9c,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,33f61e67994ab1b40506dc3084c1207cc81a364037286450112bb78bf73f8586
kubernetes.audit,cf3fe417-4a59-4c47-ac26-14288e3aa4b4:ResponseComplete,2026-09-02T21:00:03.285401Z,2026-09-02T21:00:03.287196Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://cf3fe417-4a59-4c47-ac26-14288e3aa4b4,k8s://eacp-cross-plane-v13/roles/eacp-observer,9e1c3c8d441e937b00b087e58b8110b32b04294b68cc29efa2813ef986e83db5
kubernetes.audit,25bbee91-b66d-47f4-9d93-07250af69349:ResponseComplete,2026-09-02T21:00:03.288065Z,2026-09-02T21:00:03.291419Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://25bbee91-b66d-47f4-9d93-07250af69349,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,f0d247385980055f7693eb95507d3b2d8d3c6755d4ec6528772a0a4e2e43dd45
kubernetes.audit,7c0d2be0-6de7-478c-9097-ef3c19754d17:ResponseComplete,2026-09-02T21:00:03.292436Z,2026-09-02T21:00:03.293513Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://7c0d2be0-6de7-478c-9097-ef3c19754d17,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,f338d12867d4a5c425a1ac90c1d8d1ff06be4023b2e6443c5c858ba90dfcf489
kubernetes.audit,dd690c1f-4b64-42fa-88de-1d938e14915e:ResponseComplete,2026-09-02T21:00:03.297383Z,2026-09-02T21:00:03.300377Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://dd690c1f-4b64-42fa-88de-1d938e14915e,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,d1a1abad6cdd74098dc884370e9a1818b6f8326090eb58e2e46349c7a4e5664b
kubernetes.audit,3e5ed3c1-3c31-4e81-8bcc-24022326fc71:ResponseComplete,2026-09-02T21:00:03.303970Z,2026-09-02T21:00:03.305529Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://3e5ed3c1-3c31-4e81-8bcc-24022326fc71,k8s://eacp-cross-plane-v13/deployments/eacp-cross-plane,adfdfe6713360af65444aff7e0b4e6f1899cb79d07e580e54251259d61b397f8
kubernetes.audit,271f53de-8986-4cde-93ee-1fdb18bc68d0:ResponseComplete,2026-09-02T21:00:03.306434Z,2026-09-02T21:00:03.307920Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://271f53de-8986-4cde-93ee-1fdb18bc68d0,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,3b711207d0d0bd00369df0c1793adc78aa17be61266b161d21a9daca54562f47
kubernetes.audit,daecae0c-5fa0-4c69-baaa-9514b024fadc:ResponseComplete,2026-09-02T21:00:03.309238Z,2026-09-02T21:00:03.313865Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://daecae0c-5fa0-4c69-baaa-9514b024fadc,eacp-gha-1324720646-33682116347-3,547f59feb26617286e2f90856f44aa00e757c964b366522714944e5a7e279f2a
kubernetes.audit,59b53f17-cc1c-4634-85c9-87e0ae5f0d8b:ResponseComplete,2026-09-02T21:00:03.315384Z,2026-09-02T21:00:03.316745Z,kubernetes-admin,eacp-cross-plane-v13/negative-control-no-correlation,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://59b53f17-cc1c-4634-85c9-87e0ae5f0d8b,k8s://eacp-cross-plane-v13/configmaps/negative-control-no-correlation,1d3d222aa5007fb474aa2f8f6d03085341a846c7736bf5d68f18e632ba51acfd
kubernetes.audit,8fc3f4a5-0869-4ab2-bd5c-5b2aeee8f6bc:ResponseComplete,2026-09-02T21:00:03.317600Z,2026-09-02T21:00:03.319023Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://8fc3f4a5-0869-4ab2-bd5c-5b2aeee8f6bc,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,49d1a85d32e216773d53c2a8241cca74efa8c6b8c55b756bdb6988546a0b0210
kubernetes.audit,3774f71c-29b0-4d40-aa36-7b13308320d0:ResponseComplete,2026-09-02T21:00:03.315857Z,2026-09-02T21:00:03.321874Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://3774f71c-29b0-4d40-aa36-7b13308320d0,eacp-gha-1324720646-33682116347-3,bee5d995b0b61d0089427808a6a790e15f5b16425540f3b3e1dd51c8ab0fcba5
kubernetes.audit,5b0589f0-e5c4-4bfa-b4cc-c017713c936f:ResponseComplete,2026-09-02T21:00:03.320017Z,2026-09-02T21:00:03.323500Z,kubernetes-admin,eacp-cross-plane-v13/eacp-negative-control,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://5b0589f0-e5c4-4bfa-b4cc-c017713c936f,k8s://eacp-cross-plane-v13/configmaps/negative-control-no-correlation,75165b3578587a80645fb39e7fcb00b137c7ebef12e2f328af34b8c0dee78a7c
kubernetes.audit,536e16bf-6157-49c4-8af6-3ac17f20739b:ResponseComplete,2026-09-02T21:00:03.322810Z,2026-09-02T21:00:03.328357Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,update,200,kubernetes-audit://536e16bf-6157-49c4-8af6-3ac17f20739b,k8s://eacp-cross-plane-v13/deployments/eacp-cross-plane,b7d877161228b6b800fca03f41d983080b7a4a979b39af08e07c015ed2070ca0
kubernetes.audit,bfb34754-738f-45e3-9d06-c6aafb7c0ab4:ResponseComplete,2026-09-02T21:00:03.322847Z,2026-09-02T21:00:03.329813Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane.18d19caf3273ff91,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://bfb34754-738f-45e3-9d06-c6aafb7c0ab4,k8s://eacp-cross-plane-v13/events/eacp-cross-plane.18d19caf3273ff91,a205209e7ab8d28f460be2c0d6283e37e3688f1fbd2cd3d06d4d3fbec8ac551e
kubernetes.audit,0ef8ac04-511b-427a-bf0e-a44a9e811b51:ResponseComplete,2026-09-02T21:00:03.325059Z,2026-09-02T21:00:03.331149Z,system:apiserver,eacp-cross-plane-v13/unknown-object,software_delivery,kubernetes-rbac-admission,list,200,kubernetes-audit://0ef8ac04-511b-427a-bf0e-a44a9e811b51,k8s://eacp-cross-plane-v13/limitranges/unknown-object,89b8e0bccee50d6f083482dce957b8ee680b6a41928dc1d161f185bed806e8be
kubernetes.audit,983a8964-9128-4bd0-8cca-51e2948fd762:ResponseComplete,2026-09-02T21:00:03.328906Z,2026-09-02T21:00:03.333007Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,update,409:Conflict,kubernetes-audit://983a8964-9128-4bd0-8cca-51e2948fd762,k8s://eacp-cross-plane-v13/deployments/eacp-cross-plane,99b2da7655601053560f6b0223f674c3ad77b8332c8c4d32f4e7a5164a0afb6c
kubernetes.audit,46dd8849-dfee-4594-a39d-f308e3f818c7:ResponseComplete,2026-09-02T21:00:03.324083Z,2026-09-02T21:00:03.334887Z,system:serviceaccount:kube-system:replicaset-controller,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://46dd8849-dfee-4594-a39d-f308e3f818c7,eacp-gha-1324720646-33682116347-3,cee1f7390ede8b7666a82f292f1b48cc4c124f986300593b2e81e9451cf17e71
kubernetes.audit,45bf492f-d92e-48ad-a884-1f8d213a294d:ResponseComplete,2026-09-02T21:00:03.334026Z,2026-09-02T21:00:03.340215Z,system:serviceaccount:kube-system:deployment-controller,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,update,200,kubernetes-audit://45bf492f-d92e-48ad-a884-1f8d213a294d,k8s://eacp-cross-plane-v13/deployments/eacp-cross-plane,bb56b356491516931288e0a362f4438cabdcdd65f05d88f617d8acbdf75de638
