event_count,trial,seed,query_type,sample_position,query_key,row_count,row_sha256,full_indexes_connect_plus_first_query_ms,no_service_index_connect_plus_first_query_ms,no_correlation_index_connect_plus_first_query_ms,no_lookup_indexes_connect_plus_first_query_ms
10000,1,9238,service,0,svc-0177,48,49585a8fce9d63154c643642950e79b8cc988b770d067d1576f665ee4892643f,0.178,1.112875,0.191125,0.964666
10000,1,9238,service,1,svc-0153,48,daffe3880e119434ee95a250b03475a8bd2b47df4103ed3278e693eb8d8e6fdf,0.226625,0.942667,0.1595,0.965375
10000,1,9238,service,2,svc-0028,48,94002aff6cfccd854060ff74ce091d9af94709b7e76eed8358c1126befd5dd6d,0.147792,0.934041,0.209417,0.8355
10000,1,9238,service,3,svc-0040,48,4065221cdc36884f49c8b953e9a599ab074a37b6c093a7440a46b5c628db2818,0.184875,0.870375,0.173667,0.935792
10000,1,9238,service,4,svc-0051,48,5fc7c33f707ae5b446245cfea9c29fc5ca33072d88366c51e8ec5a601c2083dc,0.185208,0.962417,0.218375,0.973041
10000,1,9238,service,5,svc-0008,48,8a0f8731e15d17a855fc13d7c9de48916776850e46b2811faa72e2a241844ff6,0.204542,0.9195,0.1875,0.925417
10000,1,9238,service,6,svc-0032,48,c12a81ae2d22b563fa29495cd14e23311f8c21550ef4b2752093c105b559c851,0.190167,1.1085,0.314,0.919833
10000,1,9238,service,7,svc-0104,48,82eb95eaca37ba3e44453ce9876ba77b0cb7ac1d2bbc793165a8f61b780ec7d6,0.244125,0.935125,0.240583,0.969416
10000,1,9238,service,8,svc-0001,48,c7f38a648c9c118664bf747856a801f709133a5561165196e163827d2129de26,0.186,1.136792,0.338583,0.981667
10000,1,9238,service,9,svc-0029,54,84c4ac53f4d188212f71bf4ee59a68e676928c873d30f59f55491b69464f0366,0.161458,1.05,0.166583,0.911959
10000,1,9238,service,10,svc-0080,48,4e1c3ca1f981590b6df1bac05b75ed59a15bf2d15647046b6f448201c27d51ae,0.165417,0.919291,0.1695,0.873542
10000,1,9238,service,11,svc-0121,54,e7a76ba7b061526c613f707d14da5c26da7df9665cb6c87d46fd074987239e3e,0.176208,0.895,0.148333,0.875958
10000,1,9238,service,12,svc-0060,48,5122daf995c4181f6aa1598bfe38c7892df1a8b887788988d9c759cfd9da5745,0.247209,0.89475,0.151875,0.992708
10000,1,9238,service,13,svc-0032,48,c12a81ae2d22b563fa29495cd14e23311f8c21550ef4b2752093c105b559c851,0.156291,0.901292,0.184834,0.91775
10000,1,9238,service,14,svc-0199,54,58b669511f2af46834bf784541b606e898fd85edf3cf95b3a2ca04549c4e51e9,0.157334,0.879375,0.182834,0.905834
10000,1,9238,service,15,svc-0092,54,a9ff47a65d0994667e2b9bd8e730b86e30064b52441490db3992a9b58f30c5e9,0.142083,0.892292,0.154958,1.037833
10000,1,9238,service,16,svc-0040,48,4065221cdc36884f49c8b953e9a599ab074a37b6c093a7440a46b5c628db2818,0.174625,0.916584,0.172542,0.893417
10000,1,9238,service,17,svc-0082,54,d18c3406544f13f4d1443701b5d8448c1a10be7907faeed8efabd41a15b67375,0.161917,0.945583,0.152375,0.864417
10000,1,9238,service,18,svc-0139,48,55c0bc189d69554a0ca24f2aab972da046940cdcb2e263640ea1ce0e80326e69,0.176083,0.946625,0.182167,0.89375
10000,1,9238,service,19,svc-0097,54,2813445a687eee8a3921a2b1ee50b26abd6a63ff4396a896126c7a31a831ec8d,0.156083,0.898458,0.161625,0.941333
