seed,loss_rate,expected,initial_delivered_distinct,initial_missing,duplicate_attempts,initial_status,after_recovery_status,recovered_distinct
0,0.0,40,40,0,6,COMPLETE,COMPLETE,40
0,0.05,40,38,2,6,INCOMPLETE,COMPLETE,40
0,0.2,40,32,8,5,INCOMPLETE,COMPLETE,40
1,0.0,40,40,0,6,COMPLETE,COMPLETE,40
1,0.05,40,38,2,6,INCOMPLETE,COMPLETE,40
1,0.2,40,32,8,5,INCOMPLETE,COMPLETE,40
2,0.0,40,40,0,6,COMPLETE,COMPLETE,40
2,0.05,40,38,2,6,INCOMPLETE,COMPLETE,40
2,0.2,40,32,8,5,INCOMPLETE,COMPLETE,40
3,0.0,40,40,0,6,COMPLETE,COMPLETE,40
3,0.05,40,38,2,6,INCOMPLETE,COMPLETE,40
3,0.2,40,32,8,5,INCOMPLETE,COMPLETE,40
4,0.0,40,40,0,6,COMPLETE,COMPLETE,40
4,0.05,40,38,2,6,INCOMPLETE,COMPLETE,40
4,0.2,40,32,8,5,INCOMPLETE,COMPLETE,40
