scenario,algorithm,seed,configured_chain_count,configured_service_count,configured_overlap_fraction,temporal_window_ms,missing_id_events,wrong_id_events,collision_pairs,exact_duplicate_observations,conflicting_duplicate_observations,clock_skewed_events,late_events,jittered_events,truth_chain_count,event_count,canonical_event_count,observation_count,predicted_group_count,predicted_chain_group_count,complete_chain_count,complete_chain_coverage,exact_chain_accuracy,exact_chain_precision,exact_chain_recall,exact_chain_f1,mean_chain_member_coverage,true_join_pair_count,predicted_join_pair_count,correct_join_count,missed_join_count,missed_join_rate,false_join_count,false_join_rate,join_precision,join_recall,ambiguous_group_count,ambiguous_event_count,ambiguous_event_rate,accepted_ambiguous_group_count,detected_ambiguous_group_count,ambiguity_detection_true_positive,ambiguity_detection_false_positive,ambiguity_detection_false_negative,ambiguity_detection_precision,ambiguity_detection_recall,source_conflict_group_count,detected_source_conflict_group_count,source_conflict_detection_precision,source_conflict_detection_recall,abstained_observation_count,abstention_rate,deduplicated_observation_count,deduplication_rate,time_to_completeness_observations,time_to_completeness_p50_ms,time_to_completeness_p95_ms,time_to_completeness_max_ms,arrival_inversion_count,arrival_inversion_rate
control,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,0,0,0,0,0,0,24,144,144,144,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,0,0.0,24,1275.0,1275.0,1275.0,0,0.0
control,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,0,0,0,0,0,0,24,144,144,144,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,0,0.0,24,1275.0,1275.0,1275.0,0,0.0
control,naive_temporal_window,20260905,24,4,0.25,1500,0,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_random_1pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,1,0,0,0,0,0,0,0,24,144,144,144,25,24,23,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9930555555555556,360,355,355,5,0.013888888888888888,0,0.0,1.0,0.9861111111111112,0,0,0.0,0,0,0,0,0,,,0,0,,,1,0.006944444444444444,0,0.0,23,1275.0,1275.0,1275.0,0,0.0
missing_random_1pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,1,0,0,0,0,0,0,0,24,144,144,144,25,24,23,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9930555555555556,360,355,355,5,0.013888888888888888,0,0.0,1.0,0.9861111111111112,0,0,0.0,0,0,0,0,0,,,0,0,,,1,0.006944444444444444,0,0.0,23,1275.0,1275.0,1275.0,0,0.0
missing_random_1pct,naive_temporal_window,20260905,24,4,0.25,1500,1,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_random_5pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,7,0,0,0,0,0,0,0,24,144,144,144,31,24,17,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.951388888888889,360,325,325,35,0.09722222222222222,0,0.0,1.0,0.9027777777777778,0,0,0.0,0,0,0,0,0,,,0,0,,,7,0.04861111111111111,0,0.0,17,1275.0,1275.0,1275.0,0,0.0
missing_random_5pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,7,0,0,0,0,0,0,0,24,144,144,144,31,24,17,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.951388888888889,360,325,325,35,0.09722222222222222,0,0.0,1.0,0.9027777777777778,0,0,0.0,0,0,0,0,0,,,0,0,,,7,0.04861111111111111,0,0.0,17,1275.0,1275.0,1275.0,0,0.0
missing_random_5pct,naive_temporal_window,20260905,24,4,0.25,1500,7,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_random_10pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,14,0,0,0,0,0,0,0,24,144,144,144,38,24,11,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.9027777777777778,360,291,291,69,0.19166666666666668,0,0.0,1.0,0.8083333333333333,0,0,0.0,0,0,0,0,0,,,0,0,,,14,0.09722222222222222,0,0.0,11,1275.0,1275.0,1275.0,0,0.0
missing_random_10pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,14,0,0,0,0,0,0,0,24,144,144,144,38,24,11,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.9027777777777778,360,291,291,69,0.19166666666666668,0,0.0,1.0,0.8083333333333333,0,0,0.0,0,0,0,0,0,,,0,0,,,14,0.09722222222222222,0,0.0,11,1275.0,1275.0,1275.0,0,0.0
missing_random_10pct,naive_temporal_window,20260905,24,4,0.25,1500,14,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_random_20pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,29,0,0,0,0,0,0,0,24,144,144,144,53,24,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7986111111111112,360,226,226,134,0.37222222222222223,0,0.0,1.0,0.6277777777777778,0,0,0.0,0,0,0,0,0,,,0,0,,,29,0.2013888888888889,0,0.0,4,1275.0,1275.0,1275.0,0,0.0
missing_random_20pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,29,0,0,0,0,0,0,0,24,144,144,144,53,24,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7986111111111112,360,226,226,134,0.37222222222222223,0,0.0,1.0,0.6277777777777778,0,0,0.0,0,0,0,0,0,,,0,0,,,29,0.2013888888888889,0,0.0,4,1275.0,1275.0,1275.0,0,0.0
missing_random_20pct,naive_temporal_window,20260905,24,4,0.25,1500,29,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_1pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,1,0,0,0,0,0,0,24,144,144,144,30,23,22,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9583333333333334,360,340,340,20,0.05555555555555555,0,0.0,1.0,0.9444444444444444,1,7,0.04861111111111111,0,1,1,0,0,1.0,1.0,0,0,,,7,0.04861111111111111,0,0.0,22,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_1pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,1,0,0,0,0,0,0,24,144,144,144,24,24,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9930555555555556,360,361,355,5,0.013888888888888888,6,0.01662049861495845,0.9833795013850416,0.9861111111111112,1,7,0.04861111111111111,1,1,1,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,22,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_1pct,naive_temporal_window,20260905,24,4,0.25,1500,0,1,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
